currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
bitcoin 	"""Fanboy – as used in terms like “Microsoft fanboy” or “Bitcoin fanboy” – is not [an acceptable word]. The basic assumption is: you like a thing, therefore you suck. Seriously, f@&k people who like things."" - @ slatestarcodex"	VitalikButerin	10	0	1523981913	986277746379837440	https://twitter.com/VitalikButerin/status/986277746379837440			@ @	0.26	0.0593	0
bitcoin 	"You call that centralized? It's fundamentally very similar to the ""if you miners try to force 2X we'll hard fork the PoW"" drama that bitcoin went through last year."	VitalikButerin	267	10	1523981823	986277369903222785	https://twitter.com/VitalikButerin/status/986277369903222785				-0.21	-0.0513	0
	"I recommend crypto discourse changes emphasis from ""eliminating the middlemen"" to some combination of ""shackling the middlemen"" and ""making the market for middlemen more competitive""."	VitalikButerin	1444	324	1523941206	986107008892846080	https://twitter.com/VitalikButerin/status/986107008892846080				0.24	0.3612	0
	Cryptocurrency is an ideal trial-by-fire zone for new security tech. Incentives to attack and presence of anonymous attackers is very high. If a security technology survives in this environment, then it's definitely good enough to consider rolling out in more mainstream contexts.	VitalikButerin	465	99	1523940758	986105130197041152	https://twitter.com/VitalikButerin/status/986105130197041152				0.33	0.2735	0
ethereum 	The ethereum foundation grant program is absolutely willing to fund projects that try to tackle these problems.	VitalikButerin	330	41	1523940649	986104674229960704	https://twitter.com/VitalikButerin/status/986104674229960704				0.06	-0.0516	0
ethereum 	Ways they are inadequate today include: * Lack of available options * Lack of oracle providers for the semi-centralized options * Lack of standardized support across wallets * Lack of good first-class-citizen support for multisig in ethereum (will be fixed soon)	VitalikButerin	130	32	1523940606	986104490402066432	https://twitter.com/VitalikButerin/status/986104490402066432				0.05	-0.3818	0
bitcoin 	Current directions to improve on the status quo include: * Multisig wallets https://bitcoinmagazine.com/articles/multisig-future-bitcoin-1394686504/ … * Scorched earth vaults http://hackingdistributed.com/2016/02/26/how-to-implement-secure-bitcoin-vaults/ … * Multisig social recovery https://medium.com/uport/making-the-uport-smart-contracts-smarter-e1798d8c1cf9 … (Regarding the latter, it's worth noting Wechat already does something similar)	VitalikButerin	206	54	1523940432	986103764300910593	https://twitter.com/VitalikButerin/status/986103764300910593				0.12	0.5859	0
bitcoin 	Reasons why the status quo is inadequate are best summarized in my article from 2013: https://bitcoinmagazine.com/articles/bitcoin-self-defense-part-i-wallet-protection-1368758841/ … For reasons why centralization sucks, see: MtGox, Coincheck, Equifax, Ashley Madison hack..... For more reasons why bad UX sucks, see: Cambridge Analytica	VitalikButerin	267	68	1523939952	986101749286035456	https://twitter.com/VitalikButerin/status/986101749286035456				-0.13	-0.7402	0
	One thing that needs to be a major priority of the crypto community is increasing usability and security of self-sovereign authentication models. That is, we need to work much harder to design wallets that are secure for regular users without introducing centralized keyholders.	VitalikButerin	3272	886	1523939810	986101152235188224	https://twitter.com/VitalikButerin/status/986101152235188224				0.00	0.34	0
	Great video from @ alextapscott on the Global State of Crypto during this year # cryptosummit https://www.youtube.com/watch?v=YM4EwxQ3eFY …	dtapscott	14	5	1523993417	986325996205993984	https://twitter.com/dtapscott/status/986325996205993984		#	@	0.53	0.6249	0
