currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vad_sent	vad_pol	cnn_sent	cnn_pol
bitcoin 	THE NEW (RACK) SPACE RACE BEGINS. Putin tells ministers to take global lead in crypto to rule global, digital economy. Will America respond? The era of sovereign-subsidized #Bitcoin mining begins. TO THE MOON! https:// youtu.be/-Toso2Cd_30 pic.twitter.com/g67tc0SMqk	maxkeiser	328	167	1519570288	967774049752449024	https://twitter.com/maxkeiser/status/967774049752449024		#Bitcoin		1	0	0	0.9246616967896468	1.0
bitcoin 	#Bitcoin vs. alts pic.twitter.com/JHdcF4k6SX	maxkeiser	277	68	1519520623	967565738780315649	https://twitter.com/maxkeiser/status/967565738780315649		#Bitcoin		1	0	0	0.9246616967896468	1.0
bitcoin 	You know you’re cypherpunk if #Bitcoin trades under $300 and you couldn’t give a rat’s ass — because it’s always been about the tech. Where we’re going, we don’t need money. https:// youtu.be/-nbq6Ur103Q	maxkeiser	186	63	1519517532	967552777072316416	https://twitter.com/maxkeiser/status/967552777072316416		#Bitcoin		1	0.18	-1	0.9246616967896468	1.0
bitcoin 	If you’re spending more than a few hours a week as a crypto-investor, you’re doing it wrong. 1. Never have less than 75% of your port in #Bitcoin 2. Dollar cost average 3. Never use margin. 4. Remember, 99% of what you hear from traders is BS.	maxkeiser	881	237	1519515859	967545758680539137	https://twitter.com/maxkeiser/status/967545758680539137		#Bitcoin		1	0.07	-1	0.9246616967896468	1.0
bitcoin 	Bitcoin can’t fail.	VinnyLingham	15	2	1519577204	967803057890254848	https://twitter.com/VinnyLingham/status/967803057890254848				0	0.54	-1	0.9246616967896468	1.0
bitcoin 	This is actually in response to @CobraBitcoin open letter. He is not a BCH man! https:// twitter.com/cobrabitcoin/s tatus/967237696379813888 …	VinnyLingham	4	0	1519530164	967605755925823495	https://twitter.com/VinnyLingham/status/967605755925823495			@CobraBitcoin	0	0	0	0.9246616967896468	1.0
bitcoin 	Should the Bitcoin community consider changing the proof of work to assist in reducing mining centralization?	VinnyLingham	46	29	1519528831	967600165874941953	https://twitter.com/VinnyLingham/status/967600165874941953				1	0	0	0.9246616967896468	1.0
bitcoin 	There are NO true stats. Bitcoin is a pseudonymous system. No one knows who owns all the bitcoin in circulation. No one CAN know the stats you claim. Those who claim they know are lying Just like you can't tell how many people are on the Internet by counting IP addresses.	aantonop	11	5	1519599236	967895465587916800	https://twitter.com/aantonop/status/967895465587916800				1	0.17	-1	0.9246616967896468	1.0
ethereum 	My Proof-of-Stake critique got a lot of retweets in the last day. Maybe because of this article about an Ethereum PoS contender? https:// mashable.com/2018/02/24/car dano-hoskinson-interview/#W4nFsM9rlkqU … https:// twitter.com/TuurDemeester/ status/885182655368761345 …	TuurDemeester	68	20	1519581669	967821784119762944	https://twitter.com/TuurDemeester/status/967821784119762944		#W4nFsM9rlkqU		1	0.04	1	0.9246616967896468	1.0
bitcoin 	Bitcoin	TuurDemeester	5	0	1519574489	967791671378436096	https://twitter.com/TuurDemeester/status/967791671378436096				1	0	0	0.9246616967896468	1.0
ethereum 	Also related is this thread where I ask about which highly accomplished engineers are involved in Ethereum. (trigger warning) https:// twitter.com/tuurdemeester/ status/963032188626395136 …	TuurDemeester	25	4	1519573104	967785859318796288	https://twitter.com/TuurDemeester/status/967785859318796288				1	0.25	1	0.9246616967896468	1.0
bitcoin 	You can move $100M in Bitcoin easy these days.	TuurDemeester	5	0	1519531869	967612907839254528	https://twitter.com/TuurDemeester/status/967612907839254528				1	0.44	1	0.9246616967896468	1.0
bitcoin 	Who is the REAL BITCOIN ORACLE? Who will win the bet I took with @VinnyLingham . He said BTC will go under $8000 before end March, I said no way! The winner gets the title!	cryptomanran	76	32	1519573620	967788025618010112	https://twitter.com/cryptomanran/status/967788025618010112			@VinnyLingham	1	0.21	1	0.9246616967896468	1.0
bitcoin 	Bank of America Admits #Cryptocurrencies Are a Threat to Its Business Model - #Bitcoin #GlobalBoost $ BSTY https://www. ccn.com/bank-of-americ a-admits-cryptocurrencies-are-a-threat-to-its-business-model/ …	NetworksManager	30	24	1519570728	967775896198246400	https://twitter.com/NetworksManager/status/967775896198246400		#Cryptocurrencies #Bitcoin #GlobalBoost		1	0.30	-1	0.9246616967896468	1.0
bitcoin 	I quit after I got called into a meeting for talking about Bitcoin too much. You can never talk about crypto too much.	haydentiff	60	5	1519596470	967883866529828864	https://twitter.com/haydentiff/status/967883866529828864				1	0	0	0.9246616967896468	1.0
ripple 	Stellar is similar to Ripple in that the native coin on the network is fully generated at inception. After I fork the network, I’ll have a large pile of (yet to be named) network coins. I’ll airdrop them to everyone who is holding a StellarFork token. Does that make sense? 2/2	haydentiff	13	0	1519587262	967845245634400256	https://twitter.com/haydentiff/status/967845245634400256				1	0	0	0.9246616967896468	1.0
bitcoin 	@EdgeSecure uses the new #BitcoinCash address!	haydentiff	9	4	1519523297	967576957218148352	https://twitter.com/haydentiff/status/967576957218148352		#BitcoinCash	@EdgeSecure	1	0	0	0.9246616967896468	1.0
bitcoin 	Bitcoin is 'noxious poison' and honey badger don't care https:// steemit.com/bitcoin/@keise rreport/bitcoin-is-noxious-poison-and-honey-badger-don-t-care …	stacyherbert	99	33	1519596218	967882809024139264	https://twitter.com/stacyherbert/status/967882809024139264			@keise	1	0.73	-1	0.9246616967896468	1.0
bitcoin 	The Cash app only gives you bitcoin option in the US and there are four or five states that do not allow the bitcoin purchases to be available, like NY, for example.	stacyherbert	2	0	1519584406	967833266626609152	https://twitter.com/stacyherbert/status/967833266626609152				1	0.21	1	0.9246616967896468	1.0
bitcoin 	You can withdraw bitcoin from the Cash app.	stacyherbert	2	0	1519570544	967775122940743680	https://twitter.com/stacyherbert/status/967775122940743680				1	0	0	0.9246616967896468	1.0
bitcoin 	I've only used the Cash app and you buy real bitcoin. I am verified to move the bitcoin to my own wallet.	stacyherbert	0	0	1519570513	967774992757870592	https://twitter.com/stacyherbert/status/967774992757870592				1	0	0	0.9246616967896468	1.0
