currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
bitcoin 	Especially since I’m arguing for Core to merge the Segwit2x code in and retain control of Bitcoin?! Oh - he left that part out...	VinnyLingham	13	1	1506431497	912665968027013120	https://twitter.com/VinnyLingham/status/912665968027013120				0.12	-0.2754	0
bitcoin 	Wait and Watch? # Bitcoin Prices Hover Near Make or Break Levelhttps://www.coindesk.com/wait-watch-bitcoin-prices-hover-near-make-break-level/ …	BrettKing	7	9	1506378626	912444207033409536	https://twitter.com/BrettKing/status/912444207033409536		#		0.42	0.0	0
bitcoin 	Bitcoin Q&A: Biggest threat to cryptocurrencieshttps://youtu.be/MNXSDaD97x0	aantonop	118	63	1506455148	912765166600822784	https://twitter.com/aantonop/status/912765166600822784				0.33	-0.5267	0
	~5% in crypto.	ummjackson	0	0	1506445395	912724258333134848	https://twitter.com/ummjackson/status/912724258333134848				0.00	0.0	0
bitcoin 	...but everyone has their reasons I guess. Maybe they'll adapt or Bitcoin Cash will eventually be the main chain (slight chuckle)	ummjackson	2	0	1506385287	912472147825614848	https://twitter.com/ummjackson/status/912472147825614848				-0.19	0.0	0
bitcoin 	I would imagine the amount of $ creators are receiving right now is severely limited by how many people actively hold Bitcoin Cash.	ummjackson	2	0	1506385243	912471961514663936	https://twitter.com/ummjackson/status/912471961514663936				-0.17	-0.3818	0
bitcoin 	"Medium just needs to add Bitcoin as an option for their ""claps"" feature and Yours is toast, then."	ummjackson	0	0	1506384814	912470162913161216	https://twitter.com/ummjackson/status/912470162913161216				0.39	0.0	0
bitcoin 	That's kind of lame. Why not just throw a Bitcoin Cash tip button on Medium?	ummjackson	2	0	1506384138	912467328616488962	https://twitter.com/ummjackson/status/912467328616488962				0.33	-0.2377	0
	If I'm visiting your website for purposes completely separate to crypto mining, it's inappropriate to assume I'm OK with that as a user.	ummjackson	0	0	1506382814	912461774590418944	https://twitter.com/ummjackson/status/912461774590418944				0.00	0.4466	0
bitcoin ethereum 	KeepKey hardware wallets for Bitcoin and Ethereum are back in stockhttps://www.keepkey.com	ErikVoorhees	94	38	1506384014	912466809323843585	https://twitter.com/ErikVoorhees/status/912466809323843585				0.18	0.0	0
	VC firm IVP raises new $1.5B fund to back more cryptocurrency picks and shovels https://www.forbes.com/sites/alexkonrad/2017/09/26/vc-firm-ivp-raises-1-5b-fund-to-back-more-cryptocurrency-picks-and-shovels/#1c5d29803e84 …pic.twitter.com/wAyp1tfWeW	TuurDemeester	53	25	1506435656	912683410870685696	https://twitter.com/TuurDemeester/status/912683410870685696		#1c5d29803e84		0.27	0.0	0
bitcoin 	Bitcoin's roots go deep...https://twitter.com/PET_Symposium/status/912407977436631041 …	TuurDemeester	37	10	1506430769	912662912203968513	https://twitter.com/TuurDemeester/status/912662912203968513				0.25	0.0	0
	This is the equivalent of @ steam_games buying @ krakenfx. Nexon's market cap is $10.5 bn.https://twitter.com/crypto_korean/status/912617234891247616 …	TuurDemeester	177	63	1506430332	912661080605937665	https://twitter.com/TuurDemeester/status/912661080605937665			@ @	0.56	0.0	0
bitcoin 	PSA: if you use # armory w_ fragmented backups, you need to migrate to a fresh wallet due to a vulnerability. https://bitcointalk.org/index.php?topic=2199659.0 …	TuurDemeester	23	18	1506383631	912465203610169344	https://twitter.com/TuurDemeester/status/912465203610169344		#		-0.05	0.0513	0
	Imagine one crypto show with @ VinnyLingham , @ brockpierce , @ michaelterpin and the hottest ICO of 2017 @ MalcolmCasSelle.Thursday night!	cryptomanran	21	3	1506450956	912747585118621696	https://twitter.com/cryptomanran/status/912747585118621696			@ @ @ @	0.23	0.0	0
	""" I'm a crypto capitalist "" , @ brockpiercepic.twitter.com/g1C69sW0O4"	cryptomanran	3	2	1506442002	912710026854322177	https://twitter.com/cryptomanran/status/912710026854322177			@	0.33	0.0	0
ripple 	Are we keeping an ongoing list of all of the times Coindesk snubs Ripple? We should.	haydentiff	7	0	1506463176	912798838833938432	https://twitter.com/haydentiff/status/912798838833938432				0.19	-0.2384	0
ripple 	"""The Case Against BankCoin"" via @ bgarlinghouse # xrpthestandard $ XRP # SIBOS # swellbyripple # SWIFTgpi # cybersecurityhttps://www.linkedin.com/pulse/case-against-bankcoin-brad-garlinghouse …"	haydentiff	32	16	1506428307	912652585571581952	https://twitter.com/haydentiff/status/912652585571581952		# # # # #	@	0.42	0.0	0
ripple 	I lost everything in a boating accident, but I hear others are very happy with Ledger Wallet: http://support.ledgerwallet.com/knowledge_base/topics/how-to-use-ripple-with-ledger …	haydentiff	1	0	1506389927	912491608335163393	https://twitter.com/haydentiff/status/912491608335163393				0.33	0.5844	0
ripple 	What is your Ripple addy that the XRP was stolen from?	haydentiff	0	0	1506383865	912466181159833600	https://twitter.com/haydentiff/status/912466181159833600				0.00	-0.4939	0
	If your crypto touches the internet, you’ve put yourself at risk.	haydentiff	0	0	1506381292	912455393099608064	https://twitter.com/haydentiff/status/912455393099608064				-0.09	-0.2732	0
	If YOUR account was hacked, it was because you weren’t careful. And leaving crypto on an exchange is always a risk. You don’t know this?	haydentiff	0	0	1506381240	912455174236622849	https://twitter.com/haydentiff/status/912455174236622849				-0.04	-0.1821	0
	You’ve blamed everybody but yourself. Keep your crypto offline. It’s really not this complicated.	haydentiff	0	0	1506380633	912452625731325953	https://twitter.com/haydentiff/status/912452625731325953				0.21	-0.1299	0
ethereum 	Yup - here you go. 77 days until the first Ethereum Classic block reward reduction http://ecip1017.com/	barrysilbert	77	32	1506437551	912691357566865408	https://twitter.com/barrysilbert/status/912691357566865408				0.12	0.1012	0
bitcoin 	nodes run the consensus rules that define bitcoin. miners confirm transactions and provide security. only valid blocks following rules count	adam3us	1	0	1506441690	912708717354848256	https://twitter.com/adam3us/status/912708717354848256				0.05	0.0379	0
bitcoin 	and not within anyone's moral authority. changes to bitcoin need widespread consensus from the ecosystem of users, tech community & services	adam3us	1	0	1506441327	912707197733408768	https://twitter.com/adam3us/status/912707197733408768				0.05	0.0386	0
bitcoin 	agreement said three things: 1) those present would do research & draft proposals for ecosystem review (and did https://bitcoinhardforkresearch.github.io/ )	adam3us	2	0	1506441133	912706382633295872	https://twitter.com/adam3us/status/912706382633295872				0.11	0.4939	0
bitcoin 	to be clear HKA had it's own problems, but unlike NYA was never an ultimatum, HF proposals https://bitcoinhardforkresearch.github.io/  for ecosystem discussion.	adam3us	14	0	1506436519	912687031595216897	https://twitter.com/adam3us/status/912687031595216897				0.00	-0.0129	0
bitcoin 	the other elephant here is there is no way 12 guys in a hotel suite can redefine bitcoin. that just can not happen or Bitcoin isnt Bitcoin.https://twitter.com/Vaultoro/status/912605726262128642 …	adam3us	236	79	1506429555	912657821614923776	https://twitter.com/adam3us/status/912657821614923776				0.22	-0.0987	0
bitcoin 	I just published “Bitcoin and Virtue Part 2: Temperance”https://medium.com/p/bitcoin-and-virtue-part-2-temperance-e9c329f25a83 …	jimmysong	82	29	1506434289	912677676518920192	https://twitter.com/jimmysong/status/912677676518920192				-0.11	0.4215	0
bitcoin 	Join us and learn how to protect your assets. https://dollarvigilante.com/2tt # Bitcoin # Banking # Goldpic.twitter.com/Z6qGNqBjKP	DollarVigilante	13	108	1506427435	912648930957119489	https://twitter.com/DollarVigilante/status/912648930957119489		# # #		0.19	0.3352	0
bitcoin 	Dollar Vigilante’s View on Entrepreneurship, # Bitcoin and # Trump https://dollarvigilante.com/blog/2017/04/21/wealth-research-interviews-jeff-berwick-to-get-the-vigilantes-view-on-entrepreneurship-bitcoin-and-trump.html …pic.twitter.com/D0gxKVYqjJ	DollarVigilante	9	110	1506413661	912591157896638464	https://twitter.com/DollarVigilante/status/912591157896638464		# #		0.27	0.0	0
bitcoin 	The War on Cash is in full swing. People in # India and # Venezuela Found Out. Learn about # Bitcoin https://dollarvigilante.com/member-bitcoin?cfid=62?cfid=56 …pic.twitter.com/WDH0vABsML	DollarVigilante	18	117	1506399335	912531069991350272	https://twitter.com/DollarVigilante/status/912531069991350272		# # #		0.23	-0.1998	0
bitcoin 	# amazon + # bitcoin great news for the # crytpo # ecosystems & will make it unstoppable # cryptocurrencies # blockchainhttps://twitter.com/dinisguarda/status/912639744781295617 …	dinisguarda	1	0	1506443930	912718113040474112	https://twitter.com/dinisguarda/status/912718113040474112		# # # # # #		1.05	0.6124	0
	Former Macau gangland boss enters into multibillion-dollar casino # cryptocurrency deal # blockchain # fintech https://buff.ly/2wU2KDz	sbmeunier	3	4	1506459643	912784020135694337	https://twitter.com/sbmeunier/status/912784020135694337		# # #		0.12	0.0	0
	VC Firm IVP Raises New $1.5B Fund To Back More # cryptocurrency 'Picks and Shovels' # blockchain # fintech http://www.forbes.com/sites/alexkonrad/2017/09/26/vc-firm-ivp-raises-1-5b-fund-to-back-more-cryptocurrency-picks-and-shovels/?utm_source=TWITTER&utm_medium=social&utm_term=ViEWS%20Alerts#76616c657269 …	sbmeunier	11	13	1506443589	912716684896727040	https://twitter.com/sbmeunier/status/912716684896727040		# # # #76616c657269		0.35	0.0	0
	Is this the peak of the # cryptocurrency craze? Introducing the Jesus Coin # blockchain # fintech http://on.forbes.com/60128Nj4Q pic.twitter.com/I6eTt4Xf5X	sbmeunier	1	3	1506443054	912714440352649216	https://twitter.com/sbmeunier/status/912714440352649216		# # #		0.50	-0.0766	0
	USV's Fred Wilson Predicts 'Big' # cryptocurrency Crash # blockchain # fintech http://bit.ly/2htZPQ1	sbmeunier	4	2	1506441951	912709811338403840	https://twitter.com/sbmeunier/status/912709811338403840		# # #		0.08	-0.4019	0
	USV's Fred Wilson Predicts 'Big' # cryptocurrency Crash # blockchain # fintech http://bit.ly/2wUvmfT pic.twitter.com/B7170JiSSN	sbmeunier	2	2	1506441829	912709300904177664	https://twitter.com/sbmeunier/status/912709300904177664		# # #		0.08	-0.4019	0
	Homeland fans helped hackers mine # cryptocurrency and they didn't even know it # blockchain # fintech http://for.tn/2xugPvW pic.twitter.com/a08RsxhhqQ	sbmeunier	6	4	1506440759	912704814466912256	https://twitter.com/sbmeunier/status/912704814466912256		# # #		0.17	0.0	0
	What happens to # cryptocurrency when you die? # blockchain # fintech http://for.tn/2foxCpy pic.twitter.com/97NX34bTKl	sbmeunier	6	8	1506439825	912700897456730114	https://twitter.com/sbmeunier/status/912700897456730114		# # #		0.31	-0.2997	0
	Former Macau gangland boss enters into multibillion-dollar casino # cryptocurrency deal # blockchain # fintech https://buff.ly/2xBJpe4	sbmeunier	3	2	1506438903	912697028769189888	https://twitter.com/sbmeunier/status/912697028769189888		# # #		0.12	0.0	0
	Forbes – As Founder Faces Possible Jail Time, A Look At LydianCoin, Paris Hilton-Endorsed # cryptocurrency @ laurashinhttp://bit.ly/2xujRAm	sbmeunier	1	4	1506434500	912678562406305792	https://twitter.com/sbmeunier/status/912678562406305792		#	@	0.06	0.0	0
	VC firm IVP raises new $1.5B fund to back # cryptocurrency investments # blockchain # fintech http://on.forbes.com/60168NwtI pic.twitter.com/K3lxLN4oc6	sbmeunier	7	7	1506433514	912674424435900416	https://twitter.com/sbmeunier/status/912674424435900416		# # #		0.41	0.0	0
	The Next Web - # cryptocurrency jobs are popping up like crazy — even for non-techies vía @ thenextweb # fintech http://bit.ly/2hvj2gk	sbmeunier	3	5	1506430813	912663096233209856	https://twitter.com/sbmeunier/status/912663096233209856		# #	@	0.14	0.0258	0
bitcoin 	The man starting the world's biggest # cryptocurrency fund calls # bitcoin a bubble vía @ markets # fintech https://bloom.bg/2fuOS04	sbmeunier	2	7	1506427283	912648290197483521	https://twitter.com/sbmeunier/status/912648290197483521		# # #	@	0.30	0.0	0
bitcoin 	Central-bank-backed # cryptocurrencies would be ironic, given that # bitcoin was created to circumvent banks. https://trib.al/9fQAOBf	sbmeunier	9	7	1506420703	912620693749104640	https://twitter.com/sbmeunier/status/912620693749104640		# #		-0.12	0.128	0
	How much does The Pirate Bay's # cryptocurrency miner make? # blockchain # fintech http://zd.net/2fvz90q pic.twitter.com/rNq221FVmw	sbmeunier	6	8	1506420327	912619116284010496	https://twitter.com/sbmeunier/status/912619116284010496		# # #		0.27	0.0	0
	Malta's Government May Test # cryptocurrency in Regulatory 'Sandbox' # blockchain # fintech http://bit.ly/2y664R2 pic.twitter.com/G08OunhxaS	sbmeunier	2	11	1506420146	912618355860889600	https://twitter.com/sbmeunier/status/912618355860889600		# # #		0.36	0.0	0
bitcoin 	The man starting the world's biggest # cryptocurrency fund calls # bitcoin a bubble # blockchain # fintech https://bloom.bg/2y4JAjk pic.twitter.com/VP8gcWXwM3	sbmeunier	11	10	1506419466	912615502996008960	https://twitter.com/sbmeunier/status/912615502996008960		# # # #		0.32	0.0	0
	# fintech Firm to Launch # cryptocurrency Exchange in South Korea # blockchain http://bit.ly/2wTCDN1 pic.twitter.com/hrZWRCySq0	sbmeunier	2	4	1506418375	912610928163778560	https://twitter.com/sbmeunier/status/912610928163778560		# # #		0.36	0.0	0
	No Funny Business? MimbleWimble Won't ICO But Will Launch New # cryptocurrency # blockchain # fintech http://bit.ly/2wTfxpC pic.twitter.com/qTBHtmAl3m	sbmeunier	1	2	1506413019	912588465065402368	https://twitter.com/sbmeunier/status/912588465065402368		# # #		0.47	0.089	0
	Showtime websites caught hijacking computing power for # cryptocurrency mining # blockchain # fintech http://ift.tt/2xw7voF	sbmeunier	3	4	1506397879	912524960324780032	https://twitter.com/sbmeunier/status/912524960324780032		# # #		0.33	0.0	0
	Singapore banks have closed accounts of several # cryptocurrency services firms # blockchain # fintech https://bloom.bg/2y4yHhB pic.twitter.com/jEBbxaei8u	sbmeunier	2	1	1506396270	912518213010944000	https://twitter.com/sbmeunier/status/912518213010944000		# # #		0.31	0.0	0
bitcoin 	Central-bank-backed # cryptocurrencies would be ironic, given that # bitcoin was created to circumvent banks. https://trib.al/mM9F7RH	sbmeunier	2	4	1506392578	912502726843621376	https://twitter.com/sbmeunier/status/912502726843621376		# #		-0.12	0.128	0
	Former Macau gangland boss enters into multibillion-dollar casino # cryptocurrency deal # blockchain # fintech https://buff.ly/2xsSFBP	sbmeunier	5	3	1506384445	912468614460166144	https://twitter.com/sbmeunier/status/912468614460166144		# # #		0.12	0.0	0
bitcoin 	planning a trip to Santiago, Mendoza, and Buenos Aires from Oct 27 to Nov 7 - would love recommendations and to meet up with bitcoiners!	Melt_Dem	37	7	1506429945	912659456898584576	https://twitter.com/Melt_Dem/status/912659456898584576				0.24	0.6696	0
	Cryptocurrency jobs are popping up like crazy even for non-techies https://thenextweb.com/finance/2017/09/25/cryptocurrency-jobs-are-popping-up-like-crazy-even-for-non-techies … via @ TheNextWeb @ rrhoover	thomaspower	0	1	1506449772	912742617116327936	https://twitter.com/thomaspower/status/912742617116327936			@ @	0.12	0.0258	0
	. @ ParisHilton Distances Herself from # LydianCoin # ICO as Concerns Mount https://www.cryptocoinsnews.com/?p=117090  via @ CryptoCoinsNews	thomaspower	0	0	1506445075	912722916910829568	https://twitter.com/thomaspower/status/912722916910829568		# #	@ @	0.24	0.0	0
	Digital Currency Pilot: Uruguayan Central Bank is Converting Physical Cash https://www.cryptocoinsnews.com/?p=117183  via @ CryptoCoinsNews	thomaspower	0	1	1506440753	912704786620755968	https://twitter.com/thomaspower/status/912704786620755968			@	0.14	0.0	0
	South Korea's Second Largest Exchange Korbit Acquired at $150 Million Valuation https://www.cryptocoinsnews.com/?p=117152  via @ CryptoCoinsNews	thomaspower	1	0	1506436265	912685964866105344	https://twitter.com/thomaspower/status/912685964866105344			@	-0.07	0.0	0
bitcoin 	NEO Price Surges to $25 And Gains 15% on Bitcoin https://themerkle.com/neo-price-surges-to-25-and-gains-15-on-bitcoin/ … via @ themerklenews	thomaspower	1	0	1506419555	912615879132684288	https://twitter.com/thomaspower/status/912615879132684288			@	0.36	0.34	0
	Korea’s Biggest Messaging App to Launch Exchange with 100+ Cryptocurrencies https://www.cryptocoinsnews.com/?p=117134  via @ CryptoCoinsNews	thomaspower	1	2	1506413416	912590130170359808	https://twitter.com/thomaspower/status/912590130170359808			@	0.14	0.0	0
bitcoin ethereum 	# bitcoin # ethereum # icos # tokens # cryptocurrency	laurashin	4	0	1506455503	912766655679344640	https://twitter.com/laurashin/status/912766655679344640		# # # # #		0.50	0.0	0
bitcoin ethereum 	Excellent post by @ bitcom21 of @ blockchaincap on what the new world of # crypto-finance will do to incumbents:https://www.forbes.com/sites/spencerbogart/2017/09/26/bitcoin-ethereum-and-the-parallel-world-of-crypto-finance/#1cc793b335e5 …	laurashin	153	94	1506455235	912765530163032067	https://twitter.com/laurashin/status/912765530163032067		# #1cc793b335e5	@ @	0.90	0.5719	0
bitcoin 	Jesse Ventura ( @ GovJVentura) Moderates Colorado Governor Candidates in # Bitcoin Debate - in Aspen @ NxsEarthhttps://www.coindesk.com/watch-jesse-ventura-moderates-colorado-governor-candidates-colorful-bitcoin-debate/ …	BitcoinByte	1	0	1506456522	912770927204614144	https://twitter.com/BitcoinByte/status/912770927204614144		#	@ @	0.39	0.0	0
	# AICoin # ICO Raises Over $3m for Cryptocurrency Investment Collective @ aicoinico @ Gavin_smith_xbt @ financemagnateshttps://www.financemagnates.com/cryptocurrency/news/aicoin-ico-raises-3m-cryptocurrency-investment-collective/ …	BitcoinByte	1	3	1506437692	912691951090233345	https://twitter.com/BitcoinByte/status/912691951090233345		# #	@ @ @	0.41	0.0	0
	Banana Coin Private Sale is On https://www.cryptocoin.news/2017/09/23/banana-coin-private-sale-is-on/ … via @ CryptoCoinNews	SimonCocking	0	3	1506440085	912701985765380097	https://twitter.com/SimonCocking/status/912701985765380097			@	0.70	0.0	0
ethereum 	# Ethereum Cloud Mining under proof-of-stake (PoS) Why HydroMiner could be the ecological soluti… https://www.cryptocoin.news/2017/09/26/ethereum-cloud-mining-under-proof-of-stake-pos-why-hydrominer-could-be-the-ecological-solution/ … via @ CryptoCoinNews	SimonCocking	0	1	1506430302	912660952407007232	https://twitter.com/SimonCocking/status/912660952407007232		#	@	0.17	0.0	0
ethereum 	Ethereum Cloud Mining under proof-of-stake (PoS). Why HydroMiner could be the ecological soluti… https://www.cryptocoin.news/2017/09/26/ethereum-cloud-mining-under-proof-of-stake-pos-why-hydrominer-could-be-the-ecological-solution/ … via @ CryptoCoinNews	SimonCocking	1	5	1506423837	912633837087285249	https://twitter.com/SimonCocking/status/912633837087285249			@	0.12	0.0	0
bitcoin ethereum 	Ethereum v Bitcoin: The pros and cons of these two cryptorivals https://www.cryptocoin.news/2017/09/26/ethereum-v-bitcoin-the-pros-and-cons-of-these-two-cryptorivals/ … via @ CryptoCoinNews	SimonCocking	5	2	1506422789	912629442647855104	https://twitter.com/SimonCocking/status/912629442647855104			@	0.20	0.0	0
